epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,707.513,0.97426,0.56837,1.23442,0.93947,0.9,0.93994,0.63551,1.20688,0.58239,1.52726,0.0007526,0.0007526,0.0007526
65,718.525,0.97899,0.58994,1.23642,0.93192,0.91333,0.94068,0.64019,1.19087,0.61804,1.48356,0.0007328,0.0007328,0.0007328
66,729.548,0.95757,0.57363,1.23496,0.88239,0.95039,0.94168,0.64535,1.22192,0.55338,1.5373,0.000713,0.000713,0.000713
67,740.578,0.96637,0.58109,1.238,0.94669,0.88,0.93889,0.64567,1.17282,0.59772,1.52154,0.0006932,0.0006932,0.0006932
68,751.561,0.95281,0.56537,1.22534,0.95032,0.89262,0.93622,0.63594,1.20043,0.58472,1.54313,0.0006734,0.0006734,0.0006734
69,762.676,0.97755,0.58439,1.2368,0.9301,0.92,0.93672,0.6589,1.17716,0.57434,1.51277,0.0006536,0.0006536,0.0006536
70,773.677,0.95044,0.5624,1.21425,0.93953,0.9,0.94069,0.66143,1.1709,0.5582,1.51763,0.0006338,0.0006338,0.0006338
71,784.919,0.9482,0.56458,1.22173,0.92608,0.91875,0.9467,0.66441,1.12672,0.54486,1.47893,0.000614,0.000614,0.000614
72,796.133,0.95569,0.56228,1.21558,0.95957,0.88667,0.94771,0.65763,1.20154,0.54671,1.52804,0.0005942,0.0005942,0.0005942
73,807.258,0.93869,0.54369,1.21479,0.95551,0.89333,0.95174,0.64069,1.18128,0.55465,1.53417,0.0005744,0.0005744,0.0005744
74,818.249,0.9455,0.54812,1.22247,0.91893,0.88667,0.94654,0.64922,1.16885,0.57539,1.52994,0.0005546,0.0005546,0.0005546
75,828.056,0.92331,0.55766,1.20847,0.94988,0.88,0.94594,0.64999,1.20901,0.56188,1.5349,0.0005348,0.0005348,0.0005348
76,838.337,0.91594,0.52542,1.18965,0.91807,0.90667,0.94022,0.65886,1.16753,0.55686,1.49313,0.000515,0.000515,0.000515
77,849.169,0.9129,0.53737,1.20113,0.96394,0.89108,0.93803,0.64575,1.15639,0.57393,1.51769,0.0004952,0.0004952,0.0004952
78,860.408,0.92517,0.53765,1.20344,0.95847,0.87333,0.93933,0.66566,1.15274,0.56274,1.49965,0.0004754,0.0004754,0.0004754
79,872.029,0.89309,0.52503,1.19026,0.95659,0.90667,0.9404,0.66213,1.16435,0.54897,1.50748,0.0004556,0.0004556,0.0004556
80,883.746,0.87667,0.50448,1.17487,0.95473,0.88,0.9367,0.66178,1.11412,0.55728,1.47258,0.0004358,0.0004358,0.0004358
81,895.181,0.90086,0.51972,1.19435,0.95537,0.88667,0.93652,0.65007,1.16892,0.57798,1.53036,0.000416,0.000416,0.000416
82,906.434,0.89314,0.51548,1.17903,0.95031,0.89333,0.92693,0.64216,1.16362,0.61954,1.50275,0.0003962,0.0003962,0.0003962
83,917.55,0.87599,0.50896,1.17216,0.97143,0.90661,0.94718,0.66296,1.13681,0.55592,1.48037,0.0003764,0.0003764,0.0003764
84,928.592,0.8722,0.51421,1.1869,0.96376,0.88651,0.94391,0.65263,1.14695,0.57498,1.48512,0.0003566,0.0003566,0.0003566
85,939.821,0.87234,0.49977,1.17621,0.94612,0.89333,0.94409,0.66554,1.14247,0.56891,1.4697,0.0003368,0.0003368,0.0003368
86,951.163,0.87633,0.51685,1.18749,0.97093,0.88,0.94222,0.65987,1.1156,0.55011,1.4501,0.000317,0.000317,0.000317
87,962.118,0.85901,0.50287,1.16698,0.959,0.89333,0.94478,0.66255,1.12925,0.53229,1.48652,0.0002972,0.0002972,0.0002972
88,973.214,0.86265,0.50499,1.17011,0.95958,0.88667,0.93276,0.66235,1.12188,0.55888,1.47031,0.0002774,0.0002774,0.0002774
89,984.153,0.87426,0.50208,1.16493,0.94104,0.91333,0.93432,0.66289,1.10663,0.53015,1.47136,0.0002576,0.0002576,0.0002576
90,995.432,0.85298,0.49433,1.16088,0.95095,0.90467,0.93186,0.65868,1.12217,0.54052,1.47414,0.0002378,0.0002378,0.0002378
91,1007.86,0.74085,0.40354,1.14595,0.93784,0.90526,0.9128,0.63179,1.15396,0.57359,1.52868,0.000218,0.000218,0.000218
92,1019.41,0.72777,0.36472,1.13696,0.95062,0.89837,0.92754,0.65839,1.12565,0.54314,1.48603,0.0001982,0.0001982,0.0001982
93,1030.52,0.69979,0.34567,1.12484,0.94631,0.89333,0.93009,0.65513,1.12004,0.53192,1.47796,0.0001784,0.0001784,0.0001784
94,1041.61,0.68245,0.3433,1.09898,0.93687,0.9,0.93134,0.65846,1.1218,0.54196,1.47851,0.0001586,0.0001586,0.0001586
95,1052.77,0.68968,0.34207,1.1069,0.95026,0.9,0.93464,0.66593,1.10461,0.53488,1.46913,0.0001388,0.0001388,0.0001388
96,1063.96,0.68448,0.33861,1.12764,0.93819,0.91073,0.93889,0.67182,1.07294,0.51079,1.43036,0.000119,0.000119,0.000119
97,1075.05,0.67458,0.34125,1.08871,0.9489,0.9,0.93818,0.66008,1.09719,0.51465,1.45841,9.92e-05,9.92e-05,9.92e-05
98,1085.97,0.66698,0.33079,1.10052,0.97024,0.88,0.93629,0.67011,1.0843,0.51546,1.45686,7.94e-05,7.94e-05,7.94e-05
99,1096.85,0.66142,0.33204,1.09508,0.94781,0.9,0.93286,0.66391,1.09482,0.51713,1.46583,5.96e-05,5.96e-05,5.96e-05
100,1107.97,0.65162,0.33008,1.08355,0.95371,0.9,0.93246,0.66275,1.09385,0.52203,1.45627,3.98e-05,3.98e-05,3.98e-05
