epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,330.618,0.58629,0.47413,1.23905,0.97648,0.98387,0.98782,0.79108,0.76909,0.43648,1.48668,0.0005546,0.0005546,0.0005546
75,334.863,0.57567,0.44428,1.2227,0.99845,0.98387,0.98925,0.77381,0.82829,0.4417,1.54551,0.0005348,0.0005348,0.0005348
76,339.113,0.56557,0.4585,1.21816,0.97942,0.95161,0.97894,0.8017,0.76874,0.46505,1.43685,0.000515,0.000515,0.000515
77,343.327,0.56659,0.46512,1.2248,0.98964,0.95161,0.99203,0.81012,0.73801,0.45603,1.40632,0.0004952,0.0004952,0.0004952
78,347.522,0.57123,0.4651,1.21922,0.9646,0.98387,0.99345,0.79367,0.77229,0.44892,1.46094,0.0004754,0.0004754,0.0004754
79,351.819,0.56633,0.44559,1.21529,0.99837,0.96774,0.98029,0.78019,0.75526,0.46863,1.45653,0.0004556,0.0004556,0.0004556
80,356.093,0.567,0.45743,1.21736,0.98095,0.96774,0.99107,0.78517,0.7577,0.45475,1.43842,0.0004358,0.0004358,0.0004358
81,360.278,0.53548,0.44157,1.20052,0.97402,0.96774,0.98901,0.76773,0.77811,0.48425,1.46926,0.000416,0.000416,0.000416
82,364.483,0.56213,0.46206,1.19955,0.98349,0.96075,0.98455,0.79231,0.74922,0.47122,1.44574,0.0003962,0.0003962,0.0003962
83,368.747,0.55913,0.46199,1.20644,0.9818,0.96774,0.96682,0.78382,0.78392,0.48805,1.47816,0.0003764,0.0003764,0.0003764
84,372.932,0.54571,0.44961,1.19548,0.94917,0.96774,0.97993,0.78104,0.83011,0.50094,1.51508,0.0003566,0.0003566,0.0003566
85,377.104,0.533,0.43239,1.196,0.98342,0.96774,0.98627,0.79409,0.78647,0.46514,1.49307,0.0003368,0.0003368,0.0003368
86,381.378,0.53921,0.4501,1.2057,0.99544,0.96774,0.97829,0.78844,0.7767,0.45127,1.44782,0.000317,0.000317,0.000317
87,385.622,0.53325,0.43777,1.20526,0.98385,0.98281,0.99189,0.77417,0.79711,0.4675,1.50956,0.0002972,0.0002972,0.0002972
88,389.846,0.54025,0.4399,1.19723,0.98384,0.9822,0.98653,0.75917,0.81975,0.47524,1.55164,0.0002774,0.0002774,0.0002774
89,394.047,0.53413,0.43274,1.19262,0.98157,0.96774,0.98971,0.77054,0.80667,0.4588,1.53426,0.0002576,0.0002576,0.0002576
90,398.297,0.52098,0.4196,1.17635,0.97987,0.96774,0.98261,0.78569,0.80191,0.44477,1.52621,0.0002378,0.0002378,0.0002378
91,402.975,0.36091,0.37005,1.15319,1,0.96625,0.97,0.78101,0.7572,0.41797,1.42002,0.000218,0.000218,0.000218
92,407.278,0.33129,0.29165,1.12912,0.99827,0.98387,0.98816,0.78551,0.75613,0.4374,1.43944,0.0001982,0.0001982,0.0001982
93,411.575,0.32653,0.27447,1.1268,0.98155,0.96774,0.97866,0.81344,0.7277,0.4313,1.38941,0.0001784,0.0001784,0.0001784
94,415.843,0.30133,0.2594,1.07862,0.98115,0.96774,0.98218,0.81194,0.75269,0.43327,1.44567,0.0001586,0.0001586,0.0001586
95,420.141,0.29479,0.25631,1.08819,0.98102,0.96774,0.98451,0.82091,0.69621,0.39817,1.37749,0.0001388,0.0001388,0.0001388
96,424.464,0.29567,0.25258,1.08928,0.96867,0.99732,0.9942,0.82214,0.71583,0.40835,1.39496,0.000119,0.000119,0.000119
97,428.649,0.29891,0.24625,1.08925,0.98205,0.98387,0.99405,0.82644,0.71646,0.41134,1.38297,9.92e-05,9.92e-05,9.92e-05
98,432.889,0.28945,0.25259,1.07182,0.98228,0.98387,0.99422,0.81983,0.71623,0.41245,1.38702,7.94e-05,7.94e-05,7.94e-05
99,437.291,0.28525,0.24746,1.06643,1,0.97854,0.99399,0.8154,0.71889,0.41491,1.39583,5.96e-05,5.96e-05,5.96e-05
100,441.704,0.29152,0.24673,1.08333,0.98137,0.98387,0.99329,0.82375,0.70098,0.41338,1.37457,3.98e-05,3.98e-05,3.98e-05
