epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,8280.04,0.83809,0.74481,1.22295,0.95852,0.92486,0.96209,0.79795,0.77131,0.49753,1.14636,0.00406,0.00406,0.00406
62,8413.52,0.83987,0.74355,1.22273,0.96089,0.92439,0.962,0.79897,0.76995,0.49431,1.14448,0.003961,0.003961,0.003961
63,8546.31,0.83932,0.73688,1.21933,0.96003,0.92515,0.962,0.79917,0.76824,0.49204,1.14351,0.003862,0.003862,0.003862
64,8679.31,0.82571,0.72358,1.21289,0.96031,0.9246,0.96209,0.8003,0.76639,0.49037,1.14144,0.003763,0.003763,0.003763
65,8810.86,0.83214,0.73305,1.21614,0.95959,0.9259,0.9625,0.80136,0.76574,0.4889,1.14044,0.003664,0.003664,0.003664
66,8942.55,0.82249,0.7161,1.21214,0.95907,0.92598,0.96346,0.80185,0.76407,0.48761,1.13893,0.003565,0.003565,0.003565
67,9075.16,0.82536,0.71862,1.21057,0.96168,0.92237,0.96361,0.80226,0.76316,0.48484,1.13808,0.003466,0.003466,0.003466
68,9207.05,0.82492,0.71584,1.21102,0.96033,0.92255,0.96358,0.80171,0.76106,0.48216,1.13665,0.003367,0.003367,0.003367
69,9341.61,0.82051,0.70351,1.20494,0.95956,0.92287,0.96416,0.8035,0.7592,0.4807,1.1345,0.003268,0.003268,0.003268
70,9474.01,0.80788,0.69327,1.20082,0.96161,0.92213,0.96421,0.80316,0.75757,0.47819,1.13321,0.003169,0.003169,0.003169
71,9607.58,0.80988,0.69519,1.20165,0.96246,0.92151,0.96437,0.80375,0.75667,0.47663,1.13245,0.00307,0.00307,0.00307
72,9740.27,0.81012,0.69416,1.20653,0.96154,0.92287,0.96442,0.80428,0.7559,0.47556,1.13211,0.002971,0.002971,0.002971
73,9872.76,0.79908,0.68014,1.19442,0.96153,0.92452,0.9647,0.80447,0.75588,0.47392,1.13201,0.002872,0.002872,0.002872
74,10004,0.79662,0.68042,1.19336,0.96084,0.92482,0.96507,0.80523,0.75479,0.47272,1.13114,0.002773,0.002773,0.002773
75,10136.3,0.79021,0.68187,1.1907,0.96184,0.92303,0.96512,0.80514,0.75382,0.47156,1.13032,0.002674,0.002674,0.002674
76,10268.1,0.78882,0.66705,1.18726,0.96324,0.92105,0.96521,0.80483,0.75347,0.47106,1.12952,0.002575,0.002575,0.002575
77,10401,0.78302,0.66251,1.18016,0.96477,0.92224,0.96529,0.80537,0.75206,0.46954,1.12832,0.002476,0.002476,0.002476
78,10533.5,0.78695,0.66084,1.18489,0.96501,0.92337,0.96528,0.80658,0.75125,0.46882,1.12736,0.002377,0.002377,0.002377
79,10665.4,0.77319,0.65189,1.17739,0.96558,0.92348,0.96559,0.80678,0.75035,0.46791,1.12683,0.002278,0.002278,0.002278
80,10797.6,0.77392,0.64712,1.17612,0.96568,0.92374,0.96565,0.80832,0.74931,0.46604,1.12606,0.002179,0.002179,0.002179
81,10929.4,0.77053,0.64289,1.17407,0.96659,0.92348,0.96574,0.80881,0.74869,0.46509,1.1255,0.00208,0.00208,0.00208
82,11062.2,0.76619,0.63631,1.17044,0.96589,0.92389,0.96603,0.80899,0.74797,0.46357,1.12499,0.001981,0.001981,0.001981
83,11194.9,0.76329,0.63178,1.17067,0.96624,0.92457,0.96618,0.8096,0.7469,0.46248,1.12402,0.001882,0.001882,0.001882
84,11327.3,0.76112,0.63746,1.17025,0.96682,0.92422,0.9665,0.81007,0.7459,0.46161,1.12328,0.001783,0.001783,0.001783
85,11459.8,0.75763,0.63144,1.16649,0.96732,0.92278,0.96653,0.81035,0.74452,0.46053,1.12217,0.001684,0.001684,0.001684
